stop_id,stop_name,stop_lat,stop_lon
15652,63rd Ave SW & Alki Ave SW,47.5782089,-122.413185
1570,James St & 5th Ave,47.6037712,-122.328773
1580,Marion St & 2nd Ave,47.6045341,-122.334076
1590,Marion St & 4th Ave,47.6054611,-122.331863
1610,Prefontaine Pl S & Yesler Way,47.6016579,-122.329941
16100,Aurora Village Transit Center - Bay 10,47.7742424,-122.342407
16101,Aurora Village Transit Center - Bay 1,47.7745056,-122.341988
16102,Aurora Village Transit Center - Bay 2,47.7745056,-122.3414
16103,Aurora Village Transit Center - Bay 3,47.7745056,-122.340881
16106,Aurora Village Transit Center - Bay 6,47.774395,-122.341034
16112,Aurora Village Transit Center - Bay 12,47.7742348,-122.341301
16132,N 192nd St & Aurora Ave N,47.7677078,-122.346451
16140,Meridian Ave N & N 203rd St,47.7756462,-122.335358
16160,Meridian Ave N & N 198th St,47.7721138,-122.335304
16170,Meridian Ave N & N 194th St,47.7698402,-122.335266
16180,Meridian Ave N & N 190th St,47.7666931,-122.335197
1619,Westlake Ave & Virginia St,47.6148643,-122.33786
16190,Meridian Ave N & N 188th St,47.7653694,-122.335167
16200,Meridian Ave N & N 185th St,47.7629204,-122.335114
16210,Meridian Ave N & N 183rd St,47.7615395,-122.335091
16220,Meridian Ave N & N 180th St,47.7593842,-122.33503
16230,Meridian Ave N & N 178th St,47.7575531,-122.334991
16240,Meridian Ave N & N 175th St,47.7555656,-122.334938
16250,Meridian Ave N & N 170th St,47.7525482,-122.334885
16260,Meridian Ave N & N 167th St,47.750267,-122.334839
16270,Meridian Ave N & N 165th St,47.7484436,-122.334801
16280,Meridian Ave N & N 163rd St,47.7466393,-122.334747
16290,Meridian Ave N & N 160th St,47.7448349,-122.334694
1630,Westlake Ave & Olive Way,47.6132812,-122.337547
16300,Meridian Ave N & N 158th St,47.7434006,-122.334648
16310,Meridian Ave N & N 155th St,47.7411385,-122.334579
16330,Meridian Ave N & N 150th St,47.7375755,-122.334473
16340,Meridian Ave N & N 148th St,47.736145,-122.33445
16380,Northgate Station - Bay 2,47.7020226,-122.328392
16390,NE Ravenna Blvd & Woodlawn Ave NE,47.6784592,-122.32486
16400,NE Ravenna Blvd & NE 68th St,47.6773109,-122.323807
16409,NE Ravenna Blvd & I-5,47.6747398,-122.321442
16416,NE 65th St & 8th Ave NE,47.6757851,-122.320129
16419,8th Ave NE & NE 64th St,47.6753807,-122.319954
16430,Roosevelt Station - Bay 1,47.6757507,-122.316673
16440,Roosevelt Station Bay 5 - Bay 5,47.675457,-122.317467
16460,Roosevelt Way NE & NE Ravenna Blvd,47.6723557,-122.317467
16465,NE Ravenna Blvd & Roosevelt Way NE,47.6718483,-122.316971
16480,Roosevelt Way NE & NE 55th St,47.668396,-122.317467
